lipid_system,property,chain,type,T_bin,n_values,mean,median,std,min,max,spread_pct,n_sources,n_force_fields,unit
DPPC,area_per_lipid,-,computational,30C,1,54.75,54.75,0.0,54.75,54.75,0.0,1,1,A^2
DPPC,area_per_lipid,-,computational,35C,2,56.075,56.075,3.875,52.2,59.95,13.8,2,2,A^2
DPPC,area_per_lipid,-,computational,40C,1,50.37,50.37,0.0,50.37,50.37,0.0,1,1,A^2
DPPC,area_per_lipid,-,computational,45C,5,53.918,54.02,1.2547,51.72,55.21,6.5,4,1,A^2
DPPC,area_per_lipid,-,computational,50C,27,62.1233,60.9,2.7527,57.53,67.96,16.8,22,6,A^2
DPPC,area_per_lipid,-,computational,55C,1,61.8,61.8,0.0,61.8,61.8,0.0,1,1,A^2
DPPC,area_per_lipid,-,computational,60C,7,63.44,62.43,1.8587,61.71,66.49,7.5,2,2,A^2
DPPC,area_per_lipid,-,computational,65C,3,62.6967,62.81,0.2269,62.38,62.9,0.8,2,1,A^2
DPPC,area_per_lipid,-,computational,75C,1,64.73,64.73,0.0,64.73,64.73,0.0,1,1,A^2
DPPC,area_per_lipid,-,computational,85C,2,66.355,66.355,0.015,66.34,66.37,0.0,2,1,A^2
DPPC,area_per_lipid,-,experimental,50C,2,63.05,63.05,0.05,63.0,63.1,0.2,2,0,A^2
DPPC,area_per_lipid,-,experimental,60C,1,65.0,65.0,0.0,65.0,65.0,0.0,1,0,A^2
DPPC:C20 (6:1),area_per_lipid,-,computational,60C,8,57.285,58.33,1.639,55.1,58.88,6.6,1,2,A^2
DPPC:C30 (18:1),area_per_lipid,-,computational,70C,4,63.3025,63.3,1.7525,61.55,65.06,5.5,1,2,A^2
DPPC:CHOL (19:5),area_per_lipid,-,computational,35C,2,45.065,45.065,0.055,45.01,45.12,0.2,2,1,A^2
DPPC:CHOL (43:5),area_per_lipid,-,computational,20C,2,44.77,44.77,0.0,44.77,44.77,0.0,2,1,A^2
DPPC:CHOL (43:5),area_per_lipid,-,computational,30C,1,47.91,47.91,0.0,47.91,47.91,0.0,1,1,A^2
DPPC:CHOL (43:5),area_per_lipid,-,computational,35C,2,50.78,50.78,0.04,50.74,50.82,0.2,2,1,A^2
DPPC:CHOL (43:5),area_per_lipid,-,computational,40C,1,53.58,53.58,0.0,53.58,53.58,0.0,1,1,A^2
DPPC:CHOL (43:5),area_per_lipid,-,computational,45C,1,54.79,54.79,0.0,54.79,54.79,0.0,1,1,A^2
DPPC:CHOL (61:11),area_per_lipid,-,computational,35C,1,48.51,48.51,0.0,48.51,48.51,0.0,1,1,A^2
DPPC:CHOL (61:11),area_per_lipid,-,computational,40C,1,50.95,50.95,0.0,50.95,50.95,0.0,1,1,A^2
DPPC:CHOL (98:13),area_per_lipid,-,computational,35C,1,43.19,43.19,0.0,43.19,43.19,0.0,1,1,A^2
DPPC:CHOL:DOPC (102:26:83),area_per_lipid,-,computational,20C,1,42.95,42.95,0.0,42.95,42.95,0.0,1,1,A^2
DPPC:CHOL:DOPC (102:26:83),area_per_lipid,-,computational,35C,2,54.255,54.255,0.575,53.68,54.83,2.1,1,1,A^2
DPPC:DCHOL (43:5),area_per_lipid,-,computational,35C,1,52.59,52.59,0.0,52.59,52.59,0.0,1,1,A^2
DPPC:DCHOL (98:13),area_per_lipid,-,computational,35C,1,43.23,43.23,0.0,43.23,43.23,0.0,1,1,A^2
DPPE,area_per_lipid,-,computational,65C,1,54.83,54.83,0.0,54.83,54.83,0.0,1,1,A^2
DPPE,area_per_lipid,-,computational,70C,3,54.7867,59.81,7.2602,44.52,60.03,28.3,2,2,A^2
DPPG,area_per_lipid,-,computational,25C,1,53.91,53.91,0.0,53.91,53.91,0.0,1,1,A^2
DPPG,area_per_lipid,-,computational,40C,1,61.44,61.44,0.0,61.44,61.44,0.0,1,1,A^2
DPhyPC,area_per_lipid,-,experimental,20C,1,78.0,78.0,0.0,78.0,78.0,0.0,1,0,A^2
