source_doi,source_citation,type,n
10.5281/zenodo.8370442,NMRlipidsDatabank_ID781,computational,6
10.5281/zenodo.8370445,NMRlipidsDatabank_ID780,computational,6
10.5281/zenodo.1020671,NMRlipidsDatabank_ID117,computational,6
10.5281/zenodo.1020689,NMRlipidsDatabank_ID336,computational,6
10.5281/zenodo.10254558,NMRlipidsDatabank_ID868,computational,6
10.5281/zenodo.10255810,NMRlipidsDatabank_ID855,computational,6
10.5281/zenodo.10259002,NMRlipidsDatabank_ID867,computational,6
10.5281/zenodo.10259847,NMRlipidsDatabank_ID854,computational,6
10.5281/zenodo.10260376,NMRlipidsDatabank_ID866,computational,6
10.5281/zenodo.10261345,NMRlipidsDatabank_ID853,computational,6
10.5281/zenodo.10280829,NMRlipidsDatabank_ID878,computational,6
10.5281/zenodo.10635871,NMRlipidsDatabank_ID801,computational,6
10.5281/zenodo.10635871,NMRlipidsDatabank_ID850,computational,6
10.5281/zenodo.10635875,NMRlipidsDatabank_ID851,computational,6
10.5281/zenodo.1118682,NMRlipidsDatabank_ID142,computational,6
10.5281/zenodo.1118682,NMRlipidsDatabank_ID278,computational,6
10.5281/zenodo.1118682,NMRlipidsDatabank_ID371,computational,6
10.5281/zenodo.1118682,NMRlipidsDatabank_ID461,computational,6
10.5281/zenodo.1283331,NMRlipidsDatabank_ID169,computational,6
10.5281/zenodo.838219,NMRlipidsDatabank_ID621,computational,6
10.5281/zenodo.10253820,NMRlipidsDatabank_ID870,computational,6
10.5281/zenodo.838229,NMRlipidsDatabank_ID184,computational,6
10.5281/zenodo.8415046,NMRlipidsDatabank_ID782,computational,6
10.1039/B508190D,NMRlipidsExpDatabank,experimental,6
10.5281/zenodo.1230390,NMRlipidsDatabank_ID11,computational,6
10.5281/zenodo.887398,NMRlipidsDatabank_ID241,computational,6
10.5281/zenodo.887400,NMRlipidsDatabank_ID603,computational,6
10.5281/zenodo.1219494,NMRlipidsDatabank_ID165,computational,6
10.5281/zenodo.3540513,NMRlipidsDatabank_ID487,computational,5
10.5281/zenodo.439080,NMRlipidsDatabank_ID332,computational,4
10.5281/zenodo.4386514,NMRlipidsDatabank_ID220,computational,4
10.5281/zenodo.439066,NMRlipidsDatabank_ID215,computational,4
10.5281/zenodo.439066,NMRlipidsDatabank_ID7,computational,4
10.5281/zenodo.439080,NMRlipidsDatabank_ID542,computational,4
10.5281/zenodo.4349753,NMRlipidsDatabank_ID250,computational,4
10.5281/zenodo.439080,NMRlipidsDatabank_ID567,computational,4
10.5281/zenodo.4424292,NMRlipidsDatabank_ID195,computational,4
10.5281/zenodo.4424934,NMRlipidsDatabank_ID143,computational,4
10.5281/zenodo.7604711,NMRlipidsDatabank_ID735,computational,4
10.5281/zenodo.7604681,NMRlipidsDatabank_ID742,computational,4
10.5281/zenodo.45007,NMRlipidsDatabank_ID282,computational,4
10.5281/zenodo.45008,NMRlipidsDatabank_ID353,computational,4
10.5281/zenodo.4522359,NMRlipidsDatabank_ID409,computational,4
10.5281/zenodo.4352287,NMRlipidsDatabank_ID376,computational,4
10.5281/zenodo.4300706,NMRlipidsDatabank_ID255,computational,4
10.5281/zenodo.4300706,NMRlipidsDatabank_ID357,computational,4
10.5281/zenodo.4537207,NMRlipidsDatabank_ID151,computational,4
10.5281/zenodo.4071264,NMRlipidsDatabank_ID433,computational,4
10.5281/zenodo.4071264,NMRlipidsDatabank_ID13,computational,4
10.5281/zenodo.4040423,NMRlipidsDatabank_ID512,computational,4
10.5281/zenodo.7604810,NMRlipidsDatabank_ID739,computational,4
10.5281/zenodo.3997214,NMRlipidsDatabank_ID616,computational,4
10.5281/zenodo.7604842,NMRlipidsDatabank_ID741,computational,4
10.5281/zenodo.7605016,NMRlipidsDatabank_ID736,computational,4
10.5281/zenodo.7607436,NMRlipidsDatabank_ID734,computational,4
10.5281/zenodo.3434396,NMRlipidsDatabank_ID484,computational,4
10.5281/zenodo.3434396,NMRlipidsDatabank_ID576,computational,4
10.5281/zenodo.3434396,NMRlipidsDatabank_ID90,computational,4
10.5281/zenodo.7622838,NMRlipidsDatabank_ID746,computational,4
10.5281/zenodo.7625844,NMRlipidsDatabank_ID740,computational,4
10.5281/zenodo.4522359,NMRlipidsDatabank_ID455,computational,4
10.5281/zenodo.46152,NMRlipidsDatabank_ID20,computational,4
10.5281/zenodo.4537794,NMRlipidsDatabank_ID59,computational,4
10.5281/zenodo.51635,NMRlipidsDatabank_ID501,computational,4
10.5281/zenodo.4740115,NMRlipidsDatabank_ID150,computational,4
10.5281/zenodo.4750862,NMRlipidsDatabank_ID544,computational,4
10.5281/zenodo.495247,NMRlipidsDatabank_ID227,computational,4
10.5281/zenodo.495510,NMRlipidsDatabank_ID100,computational,4
10.5281/zenodo.51182,NMRlipidsDatabank_ID122,computational,4
10.5281/zenodo.51185,NMRlipidsDatabank_ID160,computational,4
10.5281/zenodo.3434396,NMRlipidsDatabank_ID459,computational,4
10.5281/zenodo.7572990,NMRlipidsDatabank_ID897,computational,4
10.5281/zenodo.3434396,NMRlipidsDatabank_ID420,computational,4
10.5281/zenodo.3434396,NMRlipidsDatabank_ID40,computational,4
10.5281/zenodo.7572990,NMRlipidsDatabank_ID896,computational,4
10.5281/zenodo.7572990,NMRlipidsDatabank_ID895,computational,4
10.5281/zenodo.3434396,NMRlipidsDatabank_ID362,computational,4
10.5281/zenodo.7572990,NMRlipidsDatabank_ID893,computational,4
10.5281/zenodo.4683633,NMRlipidsDatabank_ID591,computational,4
10.5281/zenodo.7572990,NMRlipidsDatabank_ID898,computational,4
10.5281/zenodo.3950029,NMRlipidsDatabank_ID608,computational,4
10.5281/zenodo.7604627,NMRlipidsDatabank_ID743,computational,4
10.5281/zenodo.4643862,NMRlipidsDatabank_ID299,computational,4
10.5281/zenodo.4643875,NMRlipidsDatabank_ID497,computational,4
10.5281/zenodo.4643899,NMRlipidsDatabank_ID305,computational,4
10.5281/zenodo.4643914,NMRlipidsDatabank_ID589,computational,4
10.5281/zenodo.4643985,NMRlipidsDatabank_ID206,computational,4
10.5281/zenodo.4644028,NMRlipidsDatabank_ID15,computational,4
10.5281/zenodo.7604040,NMRlipidsDatabank_ID744,computational,4
10.5281/zenodo.7586915,NMRlipidsDatabank_ID733,computational,4
10.5281/zenodo.7602924,NMRlipidsDatabank_ID730,computational,4
10.5281/zenodo.7602770,NMRlipidsDatabank_ID731,computational,4
10.5281/zenodo.7600827,NMRlipidsDatabank_ID737,computational,4
10.5281/zenodo.7600326,NMRlipidsDatabank_ID732,computational,4
10.5281/zenodo.7596011,NMRlipidsDatabank_ID745,computational,4
10.5281/zenodo.7591753,NMRlipidsDatabank_ID738,computational,4
10.5281/zenodo.7916287,NMRlipidsDatabank_ID748,computational,4
10.5281/zenodo.3950029,NMRlipidsDatabank_ID334,computational,4
10.5281/zenodo.3950029,NMRlipidsDatabank_ID537,computational,4
10.5281/zenodo.8357170,NMRlipidsDatabank_ID775,computational,4
10.5281/zenodo.35074,NMRlipidsDatabank_ID84,computational,4
10.5281/zenodo.3484548,NMRlipidsDatabank_ID153,computational,4
10.5281/zenodo.3539263,NMRlipidsDatabank_ID8,computational,4
10.5281/zenodo.8431710,NMRlipidsDatabank_ID788,computational,4
10.5281/zenodo.3540513,NMRlipidsDatabank_ID333,computational,4
10.5281/zenodo.8370414,NMRlipidsDatabank_ID773,computational,4
10.5281/zenodo.8357123,NMRlipidsDatabank_ID770,computational,4
10.5281/zenodo.3539263,NMRlipidsDatabank_ID395,computational,4
10.5281/zenodo.8337239,NMRlipidsDatabank_ID764,computational,4
10.5281/zenodo.8431710,NMRlipidsDatabank_ID789,computational,4
10.5281/zenodo.3540513,NMRlipidsDatabank_ID432,computational,4
10.5281/zenodo.3540513,NMRlipidsDatabank_ID45,computational,4
10.5281/zenodo.3540513,NMRlipidsDatabank_ID588,computational,4
10.5281/zenodo.3571071,NMRlipidsDatabank_ID882,computational,4
10.5281/zenodo.3539263,NMRlipidsDatabank_ID55,computational,4
10.5281/zenodo.3539263,NMRlipidsDatabank_ID221,computational,4
10.5281/zenodo.7916287,NMRlipidsDatabank_ID749,computational,4
10.5281/zenodo.35193,NMRlipidsDatabank_ID511,computational,4
10.5281/zenodo.35159,NMRlipidsDatabank_ID321,computational,4
10.5281/zenodo.8383234,NMRlipidsDatabank_ID777,computational,4
10.5281/zenodo.35160,NMRlipidsDatabank_ID78,computational,4
10.5281/zenodo.35193,NMRlipidsDatabank_ID134,computational,4
10.5281/zenodo.35193,NMRlipidsDatabank_ID297,computational,4
10.5281/zenodo.35193,NMRlipidsDatabank_ID358,computational,4
10.5281/zenodo.8383558,NMRlipidsDatabank_ID778,computational,4
10.5281/zenodo.3539263,NMRlipidsDatabank_ID216,computational,4
10.5281/zenodo.8386813,NMRlipidsDatabank_ID779,computational,4
10.5281/zenodo.35193,NMRlipidsDatabank_ID559,computational,4
10.5281/zenodo.35275,NMRlipidsDatabank_ID50,computational,4
10.5281/zenodo.8411425,NMRlipidsDatabank_ID792,computational,4
10.5281/zenodo.3539129,NMRlipidsDatabank_ID406,computational,4
10.5281/zenodo.8411733,NMRlipidsDatabank_ID791,computational,4
10.5281/zenodo.3592499,NMRlipidsDatabank_ID53,computational,4
10.5281/zenodo.3592499,NMRlipidsDatabank_ID56,computational,4
10.5281/zenodo.3592499,NMRlipidsDatabank_ID594,computational,4
10.5281/zenodo.34490,NMRlipidsDatabank_ID560,computational,4
10.5281/zenodo.34491,NMRlipidsDatabank_ID39,computational,4
10.5281/zenodo.3870998,NMRlipidsDatabank_ID566,computational,4
10.5281/zenodo.3871000,NMRlipidsDatabank_ID369,computational,4
10.5281/zenodo.3871004,NMRlipidsDatabank_ID421,computational,4
10.5281/zenodo.3871006,NMRlipidsDatabank_ID85,computational,4
10.5281/zenodo.3871008,NMRlipidsDatabank_ID490,computational,4
10.5281/zenodo.34488,NMRlipidsDatabank_ID38,computational,4
10.5281/zenodo.8307369,NMRlipidsDatabank_ID762,computational,4
10.5281/zenodo.3950029,NMRlipidsDatabank_ID105,computational,4
10.5281/zenodo.3950029,NMRlipidsDatabank_ID175,computational,4
10.5281/zenodo.3950029,NMRlipidsDatabank_ID205,computational,4
10.5281/zenodo.3950029,NMRlipidsDatabank_ID244,computational,4
10.5281/zenodo.35156,NMRlipidsDatabank_ID565,computational,4
10.5281/zenodo.3950029,NMRlipidsDatabank_ID35,computational,4
10.5281/zenodo.34497,NMRlipidsDatabank_ID276,computational,4
10.5281/zenodo.7572990,NMRlipidsDatabank_ID891,computational,4
10.5281/zenodo.7916287,NMRlipidsDatabank_ID752,computational,4
10.5281/zenodo.7916494,NMRlipidsDatabank_ID747,computational,4
10.5281/zenodo.7916494,NMRlipidsDatabank_ID750,computational,4
10.5281/zenodo.3832274,NMRlipidsDatabank_ID605,computational,4
10.5281/zenodo.3832219,NMRlipidsDatabank_ID880,computational,4
10.5281/zenodo.3741793,NMRlipidsDatabank_ID457,computational,4
10.5281/zenodo.3725670,NMRlipidsDatabank_ID385,computational,4
10.5281/zenodo.7916494,NMRlipidsDatabank_ID751,computational,4
10.5281/zenodo.34498,NMRlipidsDatabank_ID157,computational,4
10.5281/zenodo.3474863,NMRlipidsDatabank_ID428,computational,4
10.5281/zenodo.887396,NMRlipidsDatabank_ID269,computational,4
10.5281/zenodo.887351,NMRlipidsDatabank_ID213,computational,4
10.5281/zenodo.8000065,NMRlipidsDatabank_ID757,computational,4
10.5281/zenodo.8299506,NMRlipidsDatabank_ID761,computational,4
10.5281/zenodo.8435138,NMRlipidsDatabank_ID790,computational,4
10.5281/zenodo.7572990,NMRlipidsDatabank_ID892,computational,4
10.5281/zenodo.7572990,NMRlipidsDatabank_ID887,computational,4
10.5281/zenodo.7572990,NMRlipidsDatabank_ID890,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID630,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID696,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID6,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID624,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID625,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID626,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID627,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID628,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID629,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID631,computational,4
10.5281/zenodo.7022749,NMRlipidsDatabank_ID703,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID632,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID633,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID634,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID635,computational,4
10.5281/zenodo.6943413,NMRlipidsDatabank_ID636,computational,4
